Gene,BLymphocytes,TLymphocytes,Monocytes,Neutrophils
TAB2,1,0,0,0
ZNF410,1,0,0,0
SYBU,1,0,0,0
CD48,1,0,0,0
AL138963.3,1,0,0,0
AC124944.3,1,0,0,0
RPL23,1,0,0,1
ARHGAP31,1,0,0,0
MAPK8,1,0,0,0
AL356488.2,1,1,1,0
SHISAL2A,1,0,0,0
IP6K1,1,0,0,0
ATRNL1,1,0,0,0
CCNK,1,0,0,1
HAL,1,0,0,0
LDAH,1,0,0,0
SCARNA12,1,1,1,0
GAS2L1,1,0,0,0
RPL36,1,0,1,0
PRDX6,1,0,0,0
RPL4,1,0,0,0
H1FX,1,0,0,0
DCTN2,1,0,0,0
APBB1,1,0,0,0
RPL26,1,0,0,1
AL450344.3,1,0,0,0
MYO1D,1,0,0,0
CD300A,1,0,0,0
TRAPPC9,0,1,0,0
CNNM3,0,1,0,0
ERMN,0,1,0,0
AAK1,0,1,0,0
TSPO,0,1,0,0
AF131215.2,0,1,0,0
PIK3CB,0,1,0,0
TTC28,0,1,0,0
SLC16A10,0,1,0,0
AC011379.2,0,1,0,0
NPC1,0,1,0,0
SCPEP1,0,1,0,0
PLXND1,0,1,0,0
RASGRF2,0,1,0,0
U2AF1,0,1,0,0
GAS5,0,1,0,0
RPL21P16,0,1,1,1
BTG1P1,0,1,0,0
SLC49A3,0,1,0,0
AC020978.7,0,1,0,0
AP005131.6,0,1,0,0
ZFYVE9,0,1,0,0
PIK3IP1,0,1,0,0
ZMAT1,0,1,1,0
S1PR4,0,1,0,0
TMEM141,0,1,1,0
RPS11,0,1,1,1
AC244197.3,0,1,0,0
GZMM,0,1,0,0
FAM98B,0,1,0,0
SMG1P1,0,1,1,0
TANC2,0,1,0,0
SERINC5,0,1,0,0
RPS21,0,1,0,0
LINC00987,0,1,0,0
AC091132.6,0,1,0,0
SCARNA13,0,1,0,0
RPL10,0,1,1,0
PPIAL4G,0,1,0,0
AC087392.3,0,1,0,0
SCRN2,0,1,1,0
SAMD4A,0,1,0,0
TXK,0,1,0,0
ZNF347,0,1,0,0
ZNF618,0,1,1,0
RPS18,0,0,1,0
AL355075.4,0,0,1,0
RPL13,0,0,1,0
GPX4,0,0,1,0
AC122718.2,0,0,1,0
RPS5,0,0,1,0
NT5C,0,0,1,0
ENTPD1,0,0,1,0
RPL8,0,0,1,0
ANKRD36C,0,0,1,0
EXOSC5,0,0,1,0
RF00100,0,0,1,0
CD81,0,0,1,0
NDUFV1,0,0,1,0
AC025279.1,0,0,1,0
YES1P1,0,0,1,0
KAT2A,0,0,1,0
ADAM15,0,0,1,0
LINC00954,0,0,1,0
WDR83OS,0,0,1,0
CYB561D2,0,0,1,0
FPGS,0,0,1,0
ATP5MC2,0,0,1,0
ETFB,0,0,1,0
ACVR2B,0,0,1,0
VARS,0,0,1,0
PLIN2,0,0,1,0
C12orf10,0,0,1,0
UBA52,0,0,1,0
RPL29,0,0,1,0
RPL35,0,0,1,0
PCBP2,0,0,1,0
AL589863.1,0,0,1,0
SMG1P3,0,0,1,0
APRT,0,0,1,0
FUS,0,0,1,0
RPS9,0,0,1,0
TRMT1,0,0,1,0
RPS27A,0,0,0,1
ZFAS1,0,0,0,1
RPL30,0,0,0,1
AMPD2,0,0,0,1
RPL36AL,0,0,0,1
EIF3L,0,0,0,1
GET4,0,0,0,1
PSME1,0,0,0,1
COX7B,0,0,0,1
SELENOK,0,0,0,1
GMFG,0,0,0,1
AL353746.1,0,0,0,1
PDE4B,0,0,0,1
DPEP2,0,0,0,1
B2M,0,0,0,1
RPL38,0,0,0,1
POFUT2,0,0,0,1
CDC123,0,0,0,1
NPC2,0,0,0,1
POLR2B,0,0,0,1
NUDT5,0,0,0,1
EIF3I,0,0,0,1
STAT2,0,0,0,1
REC8,0,0,0,1
ATP5F1A,0,0,0,1
TRAFD1,0,0,0,1
LINC01765,0,0,0,1
RPL11,0,0,0,1
CARD19,0,0,0,1
OSER1,0,0,0,1
ATG2A,0,0,0,1
IMPA2,0,0,0,1
LRMP,0,0,0,1
RPL24,0,0,0,1
POLR2A,0,0,0,1
THEMIS2,0,0,0,1
CSNK1D,0,0,0,1
RPS25,0,0,0,1
CPS1,0,0,0,1
KPTN,0,0,0,1
NAPA,0,0,0,1
HERC2P9,0,0,0,1
BCL2A1,0,0,0,1
MATR3,0,0,0,1
RPL19,0,0,0,1
EIF4A3,0,0,0,1
CPQ,0,0,0,1
CHST7,0,0,0,1
TBXAS1,0,0,0,1
FRAS1,0,0,0,1
IRF2BPL,0,0,0,1
ZMYM2,0,0,0,1
PPP4R1,0,0,0,1
AL136295.5,0,0,0,1
RPL37A,0,0,0,1
MICAL2,0,0,0,1
ZFAND2A,0,0,0,1
PLEKHG7,0,0,0,1
NDUFAF4,0,0,0,1
RPL11P3,0,0,0,1
AIF1,0,0,0,1
PSME2,0,0,0,1
RPL34,0,0,0,1
TRIM22,0,0,0,1
ATP6V0E1,0,0,0,1
DTNA,0,0,0,1
IFI35,0,0,0,1
AFF2,0,0,0,1
ATP6V1E1,0,0,0,1
TRIM38,0,0,0,1
KARS,0,0,0,1
RAC1P2,0,0,0,1
COX7A2,0,0,0,1
NOP10,0,0,0,1
AC008725.1,0,0,0,1
SLC43A2,0,0,0,1
CDK16,0,0,0,1
MCF2L2,0,0,0,1
ICAM4,0,0,0,1
SEC14L1,0,0,0,1
IPO5,0,0,0,1
STAT1,0,0,0,1
PTPRC,0,0,0,1
MORF4L1,0,0,0,1
ARHGAP26,0,0,0,1
UBE2L6,0,0,0,1
RPS2P36,0,0,0,1
SCARNA7,0,0,0,1
ARHGAP28,0,0,0,1
SFXN2,0,0,0,1
CIR1,0,0,0,1
RPS24,0,0,0,1
CD300LF,0,0,0,1
CD53,0,0,0,1
PARP9,0,0,0,1
MIR194-2HG,0,0,0,1
BRAT1,0,0,0,1
CNTN1,0,0,0,1
COX8A,0,0,0,1
DMP1,0,0,0,1
AC067945.1,0,0,0,1
ATP6V1A,0,0,0,1
